order_id,customer_id,pizza_id,quantity,date,time,hour_of_day
OR19683,77,southw_ckn_s,1,02/01/2015,12:53:27,12
OR19784,596,pepperoni_l,1,02/01/2015,13:13:41,13
OR19885,334,classic_dlx_m,1,02/01/2015,13:34:49,13
OR19985,856,classic_dlx_s,1,02/01/2015,13:34:49,13
OR20085,297,ital_supr_l,1,02/01/2015,13:34:49,13
OR20185,987,the_greek_m,1,02/01/2015,13:34:49,13
OR20286,486,hawaiian_l,1,02/01/2015,13:40:31,13
OR20387,490,ital_cpcllo_m,1,02/01/2015,14:01:02,14
OR20487,904,mexicana_m,1,02/01/2015,14:01:02,14
OR20587,388,spinach_supr_l,1,02/01/2015,14:01:02,14
OR20687,482,spinach_supr_s,1,02/01/2015,14:01:02,14
OR20788,836,five_cheese_l,1,02/01/2015,14:10:08,14
OR20889,871,soppressata_l,1,02/01/2015,14:30:19,14
OR20989,454,thai_ckn_l,1,02/01/2015,14:30:19,14
OR21090,172,sicilian_l,1,02/01/2015,15:08:48,15
OR21190,481,thai_ckn_s,1,02/01/2015,15:08:48,15
OR21291,188,bbq_ckn_l,2,02/01/2015,15:14:43,15
OR21391,303,ckn_pesto_s,1,02/01/2015,15:14:43,15
OR21491,815,pepperoni_s,1,02/01/2015,15:14:43,15
OR21592,751,bbq_ckn_m,1,02/01/2015,15:17:02,15
OR21692,148,ital_supr_l,1,02/01/2015,15:17:02,15
OR21792,519,ital_supr_m,1,02/01/2015,15:17:02,15
OR21892,570,ital_veggie_s,1,02/01/2015,15:17:02,15
OR21992,618,pepperoni_m,1,02/01/2015,15:17:02,15
OR22092,376,peppr_salami_m,1,02/01/2015,15:17:02,15
OR22192,816,spinach_fet_s,1,02/01/2015,15:17:02,15
OR22292,667,spinach_supr_s,1,02/01/2015,15:17:02,15
OR22392,242,the_greek_m,2,02/01/2015,15:17:02,15
OR22493,801,sicilian_m,1,02/01/2015,15:29:31,15
OR22594,109,ital_cpcllo_m,1,02/01/2015,16:17:16,16
OR22694,671,southw_ckn_s,1,02/01/2015,16:17:16,16
OR22795,577,napolitana_s,1,02/01/2015,16:18:04,16
OR22895,603,peppr_salami_l,1,02/01/2015,16:18:04,16
OR22996,468,napolitana_s,1,02/01/2015,16:21:20,16
OR23097,963,big_meat_s,1,02/01/2015,16:45:33,16
OR23198,573,classic_dlx_l,1,02/01/2015,17:18:18,17
OR23298,920,napolitana_l,1,02/01/2015,17:18:18,17
OR23399,480,ital_supr_l,1,02/01/2015,17:45:42,17
OR234100,739,hawaiian_l,1,02/01/2015,17:46:17,17
OR235101,716,cali_ckn_l,1,02/01/2015,17:51:33,17
OR236101,10,pepperoni_l,1,02/01/2015,17:51:33,17
OR237101,908,soppressata_l,1,02/01/2015,17:51:33,17
OR238101,465,spicy_ital_m,1,02/01/2015,17:51:33,17
OR239102,238,bbq_ckn_s,1,02/01/2015,17:54:04,17
OR240102,722,prsc_argla_s,1,02/01/2015,17:54:04,17
OR241103,101,spinach_supr_s,1,02/01/2015,18:02:09,18
OR242104,987,bbq_ckn_m,1,02/01/2015,18:02:12,18
OR243104,304,ckn_alfredo_m,1,02/01/2015,18:02:12,18
OR244104,883,ital_veggie_m,1,02/01/2015,18:02:12,18
OR245104,265,veggie_veg_l,1,02/01/2015,18:02:12,18
OR246105,35,hawaiian_s,2,02/01/2015,18:12:01,18
OR247105,433,pepperoni_l,1,02/01/2015,18:12:01,18
OR248105,125,prsc_argla_m,1,02/01/2015,18:12:01,18
OR249106,203,mexicana_l,1,02/01/2015,18:12:13,18
OR250106,778,spicy_ital_l,1,02/01/2015,18:12:13,18
OR251107,173,cali_ckn_l,1,02/01/2015,18:25:09,18
OR252107,397,ital_supr_m,1,02/01/2015,18:25:09,18
OR253107,898,spicy_ital_l,1,02/01/2015,18:25:09,18
OR254107,495,veggie_veg_l,1,02/01/2015,18:25:09,18
OR255108,959,classic_dlx_l,1,02/01/2015,18:25:25,18
OR256108,637,hawaiian_l,1,02/01/2015,18:25:25,18
OR257108,112,spinach_supr_l,1,02/01/2015,18:25:25,18
OR258109,544,ital_cpcllo_l,1,02/01/2015,18:27:50,18
OR259109,765,ital_supr_l,1,02/01/2015,18:27:50,18
OR260109,632,pepperoni_m,1,02/01/2015,18:27:50,18
OR261109,965,prsc_argla_l,1,02/01/2015,18:27:50,18
OR262110,452,big_meat_s,1,02/01/2015,18:36:19,18
OR263110,885,napolitana_l,1,02/01/2015,18:36:19,18
OR264110,842,soppressata_l,1,02/01/2015,18:36:19,18
OR265110,234,spicy_ital_s,1,02/01/2015,18:36:19,18
OR266111,18,cali_ckn_m,1,02/01/2015,18:38:01,18
OR267111,851,five_cheese_l,1,02/01/2015,18:38:01,18
OR268111,342,pepperoni_m,1,02/01/2015,18:38:01,18
OR269111,686,spin_pesto_l,1,02/01/2015,18:38:01,18
OR270112,559,pepperoni_s,1,02/01/2015,18:41:40,18
OR271113,520,cali_ckn_l,1,02/01/2015,18:50:21,18
OR272113,564,mexicana_l,1,02/01/2015,18:50:21,18
OR273113,116,southw_ckn_m,1,02/01/2015,18:50:21,18
OR274114,511,pepperoni_l,1,02/01/2015,18:59:32,18
OR275114,712,sicilian_s,1,02/01/2015,18:59:32,18
OR276115,293,big_meat_s,1,02/01/2015,19:05:17,19
OR277115,145,napolitana_l,1,02/01/2015,19:05:17,19
OR278115,450,thai_ckn_m,1,02/01/2015,19:05:17,19
OR279116,871,five_cheese_l,1,02/01/2015,19:18:49,19
OR280117,439,peppr_salami_m,1,02/01/2015,19:23:02,19
OR281117,578,sicilian_l,1,02/01/2015,19:23:02,19
OR282118,656,prsc_argla_l,1,02/01/2015,19:26:59,19
OR283118,864,spinach_fet_s,1,02/01/2015,19:26:59,19
OR284119,690,four_cheese_m,1,02/01/2015,19:32:29,19
OR285120,936,classic_dlx_s,1,02/01/2015,19:35:07,19
OR286120,887,hawaiian_s,1,02/01/2015,19:35:07,19
OR287120,204,spinach_fet_l,1,02/01/2015,19:35:07,19
OR288121,321,bbq_ckn_m,1,02/01/2015,19:38:48,19
OR289121,179,four_cheese_l,1,02/01/2015,19:38:48,19
OR290121,681,sicilian_l,1,02/01/2015,19:38:48,19
OR291121,50,southw_ckn_l,1,02/01/2015,19:38:48,19
OR292122,825,ital_supr_m,1,02/01/2015,19:50:19,19
OR293123,257,ital_cpcllo_s,1,02/01/2015,20:12:09,20
OR294124,305,bbq_ckn_s,1,02/01/2015,20:12:34,20
OR295124,447,sicilian_l,1,02/01/2015,20:12:34,20
OR296124,554,spicy_ital_l,1,02/01/2015,20:12:34,20
OR297124,861,the_greek_s,1,02/01/2015,20:12:34,20
OR298125,467,the_greek_xl,1,02/01/2015,20:31:06,20
OR299126,290,veggie_veg_l,1,02/01/2015,20:53:42,20
OR300127,371,pepperoni_m,1,02/01/2015,20:58:23,20
OR301128,444,spicy_ital_s,1,02/01/2015,21:05:06,21
OR302129,452,big_meat_s,1,02/01/2015,21:13:02,21
OR303129,863,the_greek_m,1,02/01/2015,21:13:02,21
OR304130,552,hawaiian_s,1,02/01/2015,21:14:55,21
OR305130,835,ital_cpcllo_l,1,02/01/2015,21:14:55,21
OR306130,978,mexicana_m,1,02/01/2015,21:14:55,21
OR307130,403,southw_ckn_s,1,02/01/2015,21:14:55,21
OR308131,449,ckn_pesto_l,1,02/01/2015,21:33:10,21
OR309131,943,five_cheese_l,1,02/01/2015,21:33:10,21
OR310131,496,green_garden_s,1,02/01/2015,21:33:10,21
OR311131,958,spinach_supr_s,1,02/01/2015,21:33:10,21
OR312132,111,pepperoni_s,1,02/01/2015,21:42:45,21
OR313133,197,bbq_ckn_l,1,02/01/2015,22:00:17,22
OR314133,384,hawaiian_l,1,02/01/2015,22:00:17,22
OR315133,837,the_greek_s,1,02/01/2015,22:00:17,22
OR316134,378,big_meat_s,1,02/01/2015,22:13:24,22
OR317134,142,southw_ckn_l,1,02/01/2015,22:13:24,22
OR318134,344,spinach_supr_s,1,02/01/2015,22:13:24,22
OR319135,16,veggie_veg_l,1,02/01/2015,22:29:34,22
OR320136,638,five_cheese_l,1,02/01/2015,22:32:49,22
OR321136,387,peppr_salami_s,1,02/01/2015,22:32:49,22
OR322137,357,mediterraneo_l,1,03/01/2015,11:34:10,11
OR323137,450,pepperoni_s,1,03/01/2015,11:34:10,11
OR324137,983,spicy_ital_m,1,03/01/2015,11:34:10,11
OR325138,399,cali_ckn_m,1,03/01/2015,11:44:50,11
OR326138,820,four_cheese_l,1,03/01/2015,11:44:50,11
OR327138,706,ital_veggie_l,1,03/01/2015,11:44:50,11
OR328138,843,sicilian_m,1,03/01/2015,11:44:50,11
OR329139,697,five_cheese_l,1,03/01/2015,11:57:39,11
OR330140,182,prsc_argla_s,1,03/01/2015,12:26:44,12
OR331140,200,veggie_veg_m,1,03/01/2015,12:26:44,12
OR332141,519,classic_dlx_m,1,03/01/2015,13:16:01,13
OR333142,428,green_garden_m,1,03/01/2015,13:33:59,13
OR334143,675,cali_ckn_s,1,03/01/2015,13:41:36,13
OR335143,8,classic_dlx_s,1,03/01/2015,13:41:36,13
OR336143,94,hawaiian_l,1,03/01/2015,13:41:36,13
OR337143,812,mexicana_m,1,03/01/2015,13:41:36,13
OR338143,46,pepperoni_l,1,03/01/2015,13:41:36,13
OR339143,915,prsc_argla_s,1,03/01/2015,13:41:36,13
OR340143,586,thai_ckn_l,1,03/01/2015,13:41:36,13
OR341143,20,veggie_veg_m,1,03/01/2015,13:41:36,13
OR342144,909,bbq_ckn_m,3,03/01/2015,13:44:28,13
OR343144,171,big_meat_s,1,03/01/2015,13:44:28,13
OR344144,480,cali_ckn_l,1,03/01/2015,13:44:28,13
OR345144,800,ckn_pesto_m,1,03/01/2015,13:44:28,13
OR346144,479,five_cheese_l,1,03/01/2015,13:44:28,13
OR347144,509,four_cheese_l,1,03/01/2015,13:44:28,13
OR348144,896,pep_msh_pep_s,1,03/01/2015,13:44:28,13
OR349144,451,southw_ckn_l,1,03/01/2015,13:44:28,13
OR350144,101,southw_ckn_s,1,03/01/2015,13:44:28,13
OR351144,420,spicy_ital_l,1,03/01/2015,13:44:28,13
OR352144,887,thai_ckn_m,1,03/01/2015,13:44:28,13
OR353144,135,veggie_veg_l,1,03/01/2015,13:44:28,13
OR354145,654,the_greek_s,1,03/01/2015,13:53:48,13
OR355146,126,cali_ckn_l,1,03/01/2015,14:22:10,14
OR356146,784,four_cheese_m,1,03/01/2015,14:22:10,14
OR357146,27,hawaiian_m,1,03/01/2015,14:22:10,14
OR358147,39,the_greek_xl,1,03/01/2015,14:32:51,14
OR359148,816,mediterraneo_s,1,03/01/2015,14:40:42,14
OR360149,601,spinach_fet_m,1,03/01/2015,14:48:45,14
OR361150,766,pepperoni_m,1,03/01/2015,14:49:58,14
OR362151,246,southw_ckn_l,1,03/01/2015,15:09:34,15
OR363151,276,spinach_supr_s,1,03/01/2015,15:09:34,15
OR364152,347,hawaiian_s,1,03/01/2015,15:09:42,15
OR365152,358,spinach_fet_l,1,03/01/2015,15:09:42,15
OR366152,430,thai_ckn_s,1,03/01/2015,15:09:42,15
OR367152,494,the_greek_m,1,03/01/2015,15:09:42,15
OR368153,158,mexicana_m,1,03/01/2015,15:16:34,15
OR369154,636,prsc_argla_s,1,03/01/2015,15:22:43,15
OR370155,178,ckn_pesto_s,1,03/01/2015,15:28:59,15
OR371155,697,napolitana_l,1,03/01/2015,15:28:59,15
OR372155,193,pepperoni_l,1,03/01/2015,15:28:59,15
OR373155,938,peppr_salami_l,1,03/01/2015,15:28:59,15
OR374156,641,napolitana_m,1,03/01/2015,15:42:19,15
OR375156,504,thai_ckn_l,1,03/01/2015,15:42:19,15
OR376157,948,ital_supr_l,1,03/01/2015,15:43:03,15
OR377157,949,mediterraneo_m,1,03/01/2015,15:43:03,15
OR378157,199,sicilian_m,1,03/01/2015,15:43:03,15
OR379157,893,spin_pesto_m,1,03/01/2015,15:43:03,15
OR380158,801,ital_veggie_m,1,03/01/2015,15:54:30,15
OR381158,863,thai_ckn_m,1,03/01/2015,15:54:30,15
OR382159,117,four_cheese_l,1,03/01/2015,15:59:22,15
OR383159,176,thai_ckn_m,1,03/01/2015,15:59:22,15
OR384160,587,classic_dlx_m,1,03/01/2015,16:35:33,16
OR385161,720,hawaiian_s,1,03/01/2015,16:43:46,16
OR386161,240,spicy_ital_m,1,03/01/2015,16:43:46,16
OR387161,639,the_greek_xl,1,03/01/2015,16:43:46,16
OR388162,987,big_meat_s,1,03/01/2015,16:51:22,16
OR389163,39,hawaiian_m,1,03/01/2015,16:54:54,16
OR390163,910,pepperoni_l,1,03/01/2015,16:54:54,16
OR391163,852,the_greek_m,1,03/01/2015,16:54:54,16
OR392164,936,cali_ckn_l,1,03/01/2015,16:56:33,16
OR393164,719,pepperoni_m,1,03/01/2015,16:56:33,16
OR394165,772,prsc_argla_m,1,03/01/2015,16:57:37,16
OR395166,375,prsc_argla_s,1,03/01/2015,16:58:51,16
OR396167,227,bbq_ckn_l,1,03/01/2015,17:00:49,17
OR397167,700,ital_supr_m,1,03/01/2015,17:00:49,17
OR398167,833,pepperoni_m,1,03/01/2015,17:00:49,17
OR399168,387,big_meat_s,1,03/01/2015,17:02:27,17
OR400168,671,veggie_veg_m,1,03/01/2015,17:02:27,17
OR401169,931,four_cheese_l,1,03/01/2015,17:15:48,17
OR402169,358,ital_cpcllo_s,1,03/01/2015,17:15:48,17
OR403169,682,sicilian_m,1,03/01/2015,17:15:48,17
OR404170,270,hawaiian_l,1,03/01/2015,17:21:31,17
OR405171,223,napolitana_m,1,03/01/2015,17:23:03,17
OR406172,310,napolitana_s,1,03/01/2015,17:29:24,17
OR407172,326,spinach_supr_m,1,03/01/2015,17:29:24,17
OR408172,627,thai_ckn_l,1,03/01/2015,17:29:24,17
OR409173,912,cali_ckn_m,1,03/01/2015,17:35:30,17
OR410173,69,classic_dlx_m,1,03/01/2015,17:35:30,17
OR411173,983,veggie_veg_l,1,03/01/2015,17:35:30,17
OR412174,856,big_meat_s,1,03/01/2015,17:37:49,17
OR413174,632,cali_ckn_l,1,03/01/2015,17:37:49,17
OR414174,785,cali_ckn_m,1,03/01/2015,17:37:49,17
OR415174,16,ital_cpcllo_m,1,03/01/2015,17:37:49,17
OR416175,203,ital_supr_l,1,03/01/2015,17:50:51,17
OR417176,50,cali_ckn_l,1,03/01/2015,17:51:57,17
OR418176,51,peppr_salami_m,1,03/01/2015,17:51:57,17
OR419177,598,napolitana_s,1,03/01/2015,17:54:36,17
OR420177,444,thai_ckn_l,1,03/01/2015,17:54:36,17
OR421178,150,peppr_salami_l,1,03/01/2015,18:15:03,18
OR422179,848,hawaiian_l,1,03/01/2015,18:20:14,18
OR423179,846,sicilian_m,1,03/01/2015,18:20:14,18
OR424179,939,veggie_veg_s,1,03/01/2015,18:20:14,18
OR425180,5,classic_dlx_l,1,03/01/2015,18:33:34,18
OR426180,693,prsc_argla_l,1,03/01/2015,18:33:34,18
OR427181,618,mexicana_l,1,03/01/2015,18:49:32,18
OR428182,608,brie_carre_s,1,03/01/2015,18:50:10,18
OR429182,108,peppr_salami_l,1,03/01/2015,18:50:10,18
